ProductCategory,Sales,Quantity,gender,MaritalStatus,Familysize,Prodbin,Age,year,month
Office Supplies,5.67,3,M,Yes,4,6,40,2014,9
Office Supplies,28.8,9,M,Yes,4,7,40,2014,9
Office Supplies,17.52,3,M,Yes,4,4,41,2015,3
Office Supplies,7.968,2,M,Yes,4,7,41,2015,4
Office Supplies,110.52799999999999,4,M,Yes,4,5,42,2015,12
Office Supplies,3.28,1,M,Yes,4,4,42,2015,12
Office Supplies,20.736,4,M,Yes,4,7,42,2015,12
Office Supplies,414.96,2,M,Yes,4,3,42,2015,12
Technology,59.98,2,M,Yes,4,9,43,2017,7
Technology,2395.2,6,M,Yes,4,9,43,2017,7
Technology,1687.8,4,M,Yes,4,9,43,2017,7
Technology,7.992000000000001,1,M,Yes,4,10,43,2017,7
Office Supplies,45.48,3,M,Yes,3,4,29,2014,6
Office Supplies,289.2,6,M,Yes,3,4,29,2014,6
Office Supplies,19.44,3,M,Yes,3,7,29,2014,8
Furniture,121.78,2,M,Yes,3,1,31,2016,9
Office Supplies,137.352,3,M,Yes,4,8,35,2014,3
Furniture,376.509,3,M,Yes,4,3,35,2014,3
Technology,238.0,2,M,Yes,4,9,35,2014,7
Technology,279.86,14,M,Yes,4,9,36,2015,9
Furniture,318.08,4,M,Yes,4,2,37,2016,2
Office Supplies,5.8,1,M,Yes,4,5,37,2016,2
Office Supplies,111.67200000000001,9,M,Yes,4,8,37,2016,10
Technology,90.57,3,M,Yes,4,9,38,2017,7
Office Supplies,631.1759999999999,4,M,Yes,4,5,38,2017,12
Office Supplies,59.52,3,M,Yes,3,3,15,2014,3
Technology,479.97,3,M,Yes,3,9,15,2014,3
Office Supplies,18.62,2,M,Yes,3,8,15,2014,3
Office Supplies,49.632,6,M,Yes,3,5,15,2014,3
Office Supplies,97.82,2,M,Yes,3,7,15,2014,3
Office Supplies,14.94,3,M,Yes,3,6,16,2015,9
Office Supplies,15.552,3,M,Yes,3,7,17,2016,1
Technology,91.96,4,M,Yes,3,8,18,2017,9
Office Supplies,16.896,4,M,Yes,3,6,19,2017,11
Office Supplies,6.672000000000001,1,M,Yes,3,8,19,2017,11
Office Supplies,99.13600000000001,4,M,Yes,3,4,19,2017,11
Furniture,15.992,2,M,Yes,3,2,19,2017,11
Office Supplies,32.34,10,M,Yes,4,5,70,2014,1
Office Supplies,56.06399999999999,4,M,Yes,4,6,70,2014,1
Office Supplies,108.72,5,M,Yes,4,5,70,2014,1
Furniture,181.47,5,M,Yes,4,1,70,2014,1
Office Supplies,8.607999999999999,2,M,Yes,4,4,71,2014,9
Office Supplies,1.112,2,M,Yes,4,5,72,2015,3
Office Supplies,3.168,2,M,Yes,4,5,72,2015,11
Office Supplies,19.44,3,M,Yes,4,7,72,2015,11
Office Supplies,454.86,7,M,Yes,4,8,72,2015,11
Office Supplies,91.39200000000001,8,M,Yes,4,5,72,2015,11
Furniture,14.56,2,M,Yes,4,2,74,2017,5
Office Supplies,3.048,1,M,Yes,4,4,74,2017,5
Furniture,164.22,3,M,Yes,4,3,28,2014,9
Furniture,362.94,3,M,Yes,4,1,28,2014,9
Technology,59.98,2,M,Yes,4,9,28,2014,9
Office Supplies,123.92,4,M,Yes,4,7,28,2014,10
Office Supplies,14.9,5,M,Yes,4,4,28,2014,10
Office Supplies,21.39,1,M,Yes,4,8,28,2014,10
Office Supplies,8.32,5,M,Yes,4,5,30,2016,4
Furniture,22.14,3,M,Yes,4,2,30,2016,6
Furniture,842.72,8,M,Yes,4,2,31,2016,12
Furniture,41.96,2,M,Yes,4,2,31,2016,12
Furniture,477.3,5,M,Yes,4,2,31,2017,5
Technology,92.52,9,F,Yes,4,9,63,2014,8
Office Supplies,144.6,3,F,Yes,4,4,63,2014,10
Technology,15.992,1,F,Yes,4,10,63,2014,10
Office Supplies,128.4,3,F,Yes,4,5,65,2016,11
Office Supplies,88.08,6,F,Yes,4,5,65,2016,12
Furniture,751.92,4,F,Yes,4,2,65,2016,12
Office Supplies,97.264,4,F,Yes,4,3,66,2017,4
Office Supplies,845.7280000000001,13,F,Yes,4,3,57,2015,5
Furniture,327.564,4,F,Yes,4,1,58,2015,11
Technology,118.78200000000001,3,F,Yes,4,9,58,2016,4
Office Supplies,769.184,4,F,Yes,4,8,58,2016,4
Furniture,195.136,4,F,Yes,4,2,59,2016,11
Office Supplies,15.552,3,F,Yes,4,7,63,2016,4
Furniture,1325.76,6,F,Yes,4,2,63,2016,4
Office Supplies,3.108,2,F,Yes,4,5,63,2016,4
Furniture,21.44,2,F,Yes,4,2,63,2016,9
Office Supplies,511.056,9,F,Yes,4,8,63,2016,9
Technology,449.91,9,F,Yes,4,9,63,2017,1
Office Supplies,8.76,2,F,Yes,4,5,64,2017,4
Technology,18.0,1,F,Yes,4,9,64,2017,9
Office Supplies,856.6560000000001,6,F,Yes,4,8,32,2016,5
Office Supplies,13.184000000000001,4,F,Yes,4,5,32,2016,5
Office Supplies,48.784,4,F,Yes,4,3,32,2016,5
Office Supplies,76.64,2,F,Yes,4,7,32,2016,5
Office Supplies,18.528,6,F,Yes,4,5,32,2016,5
Office Supplies,21.88,2,F,Yes,4,5,32,2016,9
Furniture,207.84599999999998,3,F,Yes,4,2,32,2017,1
Technology,167.976,3,F,Yes,4,10,32,2017,2
Technology,109.53,3,F,Yes,4,9,32,2017,2
Office Supplies,9.82,2,F,Yes,4,6,32,2017,2
Furniture,51.968,2,F,Yes,4,2,33,2017,4
Office Supplies,51.336000000000006,3,F,Yes,4,8,33,2017,4
Office Supplies,332.704,1,F,Yes,4,8,33,2017,4
Furniture,42.408,3,F,Yes,4,3,33,2017,4
Office Supplies,33.12,4,F,Yes,4,6,33,2017,4
Furniture,220.2656,4,F,Yes,4,1,33,2017,4
Office Supplies,53.9,5,F,Yes,4,5,33,2017,6
Office Supplies,11.808,3,F,Yes,4,5,33,2017,9
Furniture,41.96,2,F,Yes,4,2,33,2017,12
Furniture,63.92,4,M,Yes,4,2,71,2014,10
Technology,383.96,5,M,Yes,4,10,71,2014,10
Office Supplies,35.4,5,M,Yes,4,4,72,2016,9
Furniture,239.24,1,M,Yes,4,1,73,2017,7
Office Supplies,15.984000000000002,2,M,Yes,4,7,74,2017,12
Office Supplies,39.96,2,M,Yes,3,6,17,2014,8
Office Supplies,102.3,10,M,Yes,3,8,17,2014,8
Office Supplies,21.36,2,M,Yes,3,8,17,2014,8
Office Supplies,14.015999999999998,4,M,Yes,3,3,17,2014,12
Furniture,214.95,5,M,Yes,3,3,17,2014,12
Technology,35.04,4,M,Yes,3,10,17,2014,12
Furniture,10.776,3,M,Yes,3,2,17,2014,12
Office Supplies,4.6,2,M,Yes,3,5,17,2014,12
Office Supplies,35.168,2,M,Yes,3,8,17,2014,12
Office Supplies,17.567999999999998,2,M,Yes,3,4,17,2015,3
Office Supplies,14.62,2,M,Yes,3,6,17,2015,3
Office Supplies,33.36,4,M,Yes,3,8,17,2015,3
Office Supplies,40.14,6,M,Yes,3,7,17,2015,3
Furniture,6.96,4,M,Yes,3,2,19,2016,11
Office Supplies,21.96,2,M,Yes,3,8,20,2017,9
Technology,46.36,4,M,Yes,3,9,20,2017,10
Technology,139.8,5,F,Yes,4,9,40,2014,6
Technology,40.68,3,F,Yes,4,9,41,2014,12
Furniture,763.28,5,F,Yes,4,2,41,2014,12
Office Supplies,17.94,3,F,Yes,4,8,41,2015,4
Furniture,20.104,2,F,Yes,4,2,41,2015,8
Office Supplies,3.798,1,F,Yes,4,4,41,2015,8
Furniture,7.88,5,F,Yes,4,2,41,2015,8
Office Supplies,180.016,1,F,Yes,4,8,42,2015,12
Furniture,41.552,2,F,Yes,4,2,42,2015,12
Office Supplies,13.12,5,F,Yes,4,4,42,2015,12
Furniture,51.588,1,F,Yes,4,3,42,2015,12
Office Supplies,93.36,12,F,Yes,4,6,43,2016,10
Technology,40.68,3,F,Yes,4,9,43,2017,9
Office Supplies,20.736,4,F,Yes,4,7,44,2017,10
Furniture,7.167999999999999,2,F,Yes,4,3,44,2017,10
Office Supplies,11.168,2,F,Yes,4,8,44,2017,10
Technology,442.4,7,F,Yes,4,9,44,2017,10
Office Supplies,305.01,9,F,Yes,4,8,44,2017,11
Furniture,18.7,1,F,Yes,4,2,44,2017,11
Office Supplies,49.632,4,M,Yes,3,8,20,2014,11
Office Supplies,40.05,3,M,Yes,3,4,21,2014,12
Office Supplies,6.36,2,M,Yes,3,8,22,2015,12
Office Supplies,203.92,4,M,Yes,3,3,22,2016,4
Technology,29.56,4,M,Yes,3,10,22,2016,4
Office Supplies,22.32,4,M,Yes,3,5,22,2016,8
Office Supplies,103.6,7,M,Yes,3,6,22,2016,8
Furniture,383.64,6,M,Yes,3,3,23,2016,12
Office Supplies,56.52,3,M,Yes,3,3,23,2016,12
Office Supplies,13.71,5,M,Yes,3,5,23,2017,4
Office Supplies,35.91,3,M,Yes,3,3,24,2017,12
Office Supplies,6.58,2,F,Yes,4,7,48,2014,11
Technology,94.99,1,F,Yes,4,8,48,2014,11
Technology,821.94,6,F,Yes,4,10,49,2015,9
Office Supplies,20.44,7,F,Yes,4,6,50,2016,7
Office Supplies,109.92,2,F,Yes,4,7,50,2016,7
Furniture,82.26,3,F,Yes,4,2,50,2016,11
Office Supplies,46.53,3,F,Yes,4,8,51,2016,12
Technology,71.98,2,F,Yes,4,8,51,2017,8
Office Supplies,36.544000000000004,2,M,Yes,4,7,27,2014,6
Furniture,105.686,1,M,Yes,4,1,28,2015,5
Technology,399.54,2,M,Yes,4,9,28,2015,5
Furniture,104.93,5,M,Yes,4,2,28,2015,5
Office Supplies,11.21,1,M,Yes,4,8,29,2016,3
Furniture,354.9,5,M,Yes,4,2,29,2016,3
Office Supplies,17.94,3,M,Yes,4,7,29,2016,3
Office Supplies,51.8,4,M,Yes,4,5,29,2016,3
Office Supplies,18.97,1,M,Yes,4,6,29,2016,9
Office Supplies,28.14,3,M,Yes,4,7,30,2017,4
Office Supplies,7.38,2,M,Yes,4,6,30,2017,4
Office Supplies,10.9,5,M,Yes,4,6,30,2017,4
Technology,274.89,11,M,Yes,4,9,30,2017,4
Office Supplies,23.04,8,M,Yes,4,6,30,2017,4
Furniture,218.352,3,M,Yes,4,2,30,2017,4
Office Supplies,3.8819999999999997,2,M,Yes,4,4,30,2017,9
Technology,12.585,1,M,Yes,4,9,30,2017,9
Furniture,113.37200000000001,2,M,Yes,4,2,30,2017,9
Office Supplies,18.312,4,M,Yes,4,5,30,2017,9
Furniture,127.936,8,M,Yes,4,2,30,2017,9
Technology,241.17,2,M,Yes,4,9,30,2017,9
Office Supplies,10.368,2,M,Yes,4,4,58,2015,1
Technology,235.188,2,M,Yes,4,10,58,2015,1
Technology,26.375999999999998,4,M,Yes,4,10,58,2015,1
Technology,10.384,2,M,Yes,4,8,58,2015,1
Technology,107.118,3,M,Yes,4,10,58,2015,1
Office Supplies,6.99,3,M,Yes,4,4,59,2016,4
Office Supplies,6.84,1,M,Yes,4,8,59,2016,4
Furniture,562.2925,7,M,Yes,4,3,60,2016,8
Office Supplies,111.67200000000001,9,M,Yes,4,8,60,2016,11
Office Supplies,232.55,5,F,Yes,2,8,16,2014,4
Technology,99.98,2,F,Yes,2,9,16,2014,4
Office Supplies,19.44,3,F,Yes,2,7,16,2014,4
Office Supplies,12.96,2,F,Yes,2,7,16,2014,4
Office Supplies,15.552,3,F,Yes,2,7,16,2014,8
Furniture,1013.832,9,F,Yes,2,1,16,2014,12
Office Supplies,1.984,2,F,Yes,2,6,16,2014,12
Office Supplies,89.82,6,F,Yes,2,8,16,2015,3
Office Supplies,34.65,3,F,Yes,2,4,17,2015,4
Technology,19.8,5,F,Yes,2,10,17,2015,4
Office Supplies,9.762,2,F,Yes,2,4,17,2015,9
Office Supplies,8.72,5,F,Yes,2,6,17,2015,11
Technology,91.176,3,F,Yes,2,8,17,2015,11
Technology,159.968,4,F,Yes,2,9,17,2015,11
Furniture,79.92,4,F,Yes,2,2,17,2016,1
Technology,69.98,2,F,Yes,2,9,17,2016,1
Office Supplies,70.368,2,F,Yes,2,4,18,2016,9
Technology,59.96,5,F,Yes,2,10,18,2016,9
Office Supplies,19.46,7,F,Yes,2,3,18,2016,12
Office Supplies,60.34,7,F,Yes,2,3,18,2016,12
Technology,69.93,7,F,Yes,2,10,18,2017,3
Office Supplies,440.19,9,F,Yes,2,7,19,2017,5
Office Supplies,64.4,5,F,Yes,2,8,19,2017,5
Furniture,1125.488,7,M,Yes,4,2,40,2014,3
Office Supplies,12.645,5,M,Yes,4,5,40,2014,3
Office Supplies,4.032,2,M,Yes,4,4,40,2014,3
Furniture,355.36,4,M,Yes,4,2,41,2015,6
Technology,140.376,3,M,Yes,4,10,41,2015,6
Office Supplies,160.72,14,M,Yes,4,7,42,2015,9
Office Supplies,19.92,4,M,Yes,4,7,42,2015,9
Office Supplies,7.3,2,M,Yes,4,8,42,2015,9
Technology,113.52,4,M,Yes,4,9,44,2017,9
Furniture,135.3,5,M,Yes,4,2,44,2017,9
Office Supplies,6.912000000000001,3,M,Yes,4,6,37,2014,4
Technology,383.976,3,M,Yes,4,9,37,2014,4
Office Supplies,10.368,2,M,Yes,4,6,37,2014,4
Technology,335.944,7,M,Yes,4,9,37,2014,4
Furniture,369.912,3,M,Yes,4,3,38,2015,4
Office Supplies,434.352,3,M,Yes,4,3,39,2015,12
Office Supplies,3.552,2,M,Yes,4,3,39,2015,12
Office Supplies,88.83200000000001,4,M,Yes,4,3,39,2015,12
Furniture,573.174,7,M,Yes,4,2,40,2016,8
Office Supplies,73.36,7,M,Yes,4,8,40,2016,11
Technology,159.96,5,M,Yes,4,10,41,2017,8
Office Supplies,13.76,2,M,Yes,4,4,41,2017,8
Office Supplies,31.44,3,M,Yes,4,8,41,2017,8
Office Supplies,83.79,7,M,Yes,4,3,41,2017,8
Office Supplies,59.52,3,M,Yes,4,3,41,2017,8
Office Supplies,31.92,4,M,Yes,4,8,41,2017,8
Office Supplies,48.86,7,M,Yes,4,8,41,2017,11
Office Supplies,67.15,5,F,Yes,4,8,81,2014,11
Office Supplies,142.86,1,F,Yes,4,8,81,2014,12
Furniture,292.272,6,F,Yes,4,1,81,2014,12
