"gender","MaritalStatus","Familysize","ProductCategory","Sales","Quantity","Age","year","month","pred"
"M","Yes",4,"Office Supplies",5.67,3,40,2014,9,2
"M","Yes",4,"Office Supplies",28.8,9,40,2014,9,2
"M","Yes",4,"Office Supplies",17.52,3,41,2015,3,2
"M","Yes",4,"Office Supplies",7.968,2,41,2015,4,2
"M","Yes",4,"Office Supplies",110.528,4,42,2015,12,2
"M","Yes",4,"Office Supplies",3.28,1,42,2015,12,2
"M","Yes",4,"Office Supplies",20.736,4,42,2015,12,2
"M","Yes",4,"Office Supplies",414.96,2,42,2015,12,2
"M","Yes",4,"Technology",59.98,2,43,2017,7,3
"M","Yes",4,"Technology",2395.2,6,43,2017,7,3
"M","Yes",4,"Technology",1687.8,4,43,2017,7,3
"M","Yes",4,"Technology",7.992,1,43,2017,7,3
"M","Yes",3,"Office Supplies",45.48,3,29,2014,6,2
"M","Yes",3,"Office Supplies",289.2,6,29,2014,6,2
"M","Yes",3,"Office Supplies",19.44,3,29,2014,8,2
"M","Yes",3,"Furniture",121.78,2,31,2016,9,1
"M","Yes",4,"Office Supplies",137.352,3,35,2014,3,2
"M","Yes",4,"Furniture",376.509,3,35,2014,3,1
"M","Yes",4,"Technology",238,2,35,2014,7,3
"M","Yes",4,"Technology",279.86,14,36,2015,9,3
"M","Yes",4,"Furniture",318.08,4,37,2016,2,1
"M","Yes",4,"Office Supplies",5.8,1,37,2016,2,2
"M","Yes",4,"Office Supplies",111.672,9,37,2016,10,2
"M","Yes",4,"Technology",90.57,3,38,2017,7,3
"M","Yes",4,"Office Supplies",631.176,4,38,2017,12,2
"M","Yes",3,"Office Supplies",59.52,3,15,2014,3,2
"M","Yes",3,"Technology",479.97,3,15,2014,3,3
"M","Yes",3,"Office Supplies",18.62,2,15,2014,3,2
"M","Yes",3,"Office Supplies",49.632,6,15,2014,3,2
"M","Yes",3,"Office Supplies",97.82,2,15,2014,3,2
"M","Yes",3,"Office Supplies",14.94,3,16,2015,9,2
"M","Yes",3,"Office Supplies",15.552,3,17,2016,1,2
"M","Yes",3,"Technology",91.96,4,18,2017,9,3
"M","Yes",3,"Office Supplies",16.896,4,19,2017,11,2
"M","Yes",3,"Office Supplies",6.672,1,19,2017,11,2
"M","Yes",3,"Office Supplies",99.136,4,19,2017,11,2
"M","Yes",3,"Furniture",15.992,2,19,2017,11,1
"M","Yes",4,"Office Supplies",32.34,10,70,2014,1,2
"M","Yes",4,"Office Supplies",56.064,4,70,2014,1,2
"M","Yes",4,"Office Supplies",108.72,5,70,2014,1,2
"M","Yes",4,"Furniture",181.47,5,70,2014,1,1
"M","Yes",4,"Office Supplies",8.608,2,71,2014,9,2
"M","Yes",4,"Office Supplies",1.112,2,72,2015,3,2
"M","Yes",4,"Office Supplies",3.168,2,72,2015,11,2
"M","Yes",4,"Office Supplies",19.44,3,72,2015,11,2
"M","Yes",4,"Office Supplies",454.86,7,72,2015,11,2
"M","Yes",4,"Office Supplies",91.392,8,72,2015,11,2
"M","Yes",4,"Furniture",14.56,2,74,2017,5,1
"M","Yes",4,"Office Supplies",3.048,1,74,2017,5,2
"M","Yes",4,"Furniture",164.22,3,28,2014,9,1
"M","Yes",4,"Furniture",362.94,3,28,2014,9,1
"M","Yes",4,"Technology",59.98,2,28,2014,9,3
"M","Yes",4,"Office Supplies",123.92,4,28,2014,10,2
"M","Yes",4,"Office Supplies",14.9,5,28,2014,10,2
"M","Yes",4,"Office Supplies",21.39,1,28,2014,10,2
"M","Yes",4,"Office Supplies",8.32,5,30,2016,4,2
"M","Yes",4,"Furniture",22.14,3,30,2016,6,1
"M","Yes",4,"Furniture",842.72,8,31,2016,12,1
"M","Yes",4,"Furniture",41.96,2,31,2016,12,1
"M","Yes",4,"Furniture",477.3,5,31,2017,5,1
"F","Yes",4,"Technology",92.52,9,63,2014,8,4
"F","Yes",4,"Office Supplies",144.6,3,63,2014,10,5
"F","Yes",4,"Technology",15.992,1,63,2014,10,4
"F","Yes",4,"Office Supplies",128.4,3,65,2016,11,5
"F","Yes",4,"Office Supplies",88.08,6,65,2016,12,5
"F","Yes",4,"Furniture",751.92,4,65,2016,12,6
"F","Yes",4,"Office Supplies",97.264,4,66,2017,4,5
"F","Yes",4,"Office Supplies",845.728,13,57,2015,5,5
"F","Yes",4,"Furniture",327.564,4,58,2015,11,6
"F","Yes",4,"Technology",118.782,3,58,2016,4,4
"F","Yes",4,"Office Supplies",769.184,4,58,2016,4,5
"F","Yes",4,"Furniture",195.136,4,59,2016,11,6
"F","Yes",4,"Office Supplies",15.552,3,63,2016,4,5
"F","Yes",4,"Furniture",1325.76,6,63,2016,4,6
"F","Yes",4,"Office Supplies",3.108,2,63,2016,4,5
"F","Yes",4,"Furniture",21.44,2,63,2016,9,6
"F","Yes",4,"Office Supplies",511.056,9,63,2016,9,5
"F","Yes",4,"Technology",449.91,9,63,2017,1,4
"F","Yes",4,"Office Supplies",8.76,2,64,2017,4,5
"F","Yes",4,"Technology",18,1,64,2017,9,4
"F","Yes",4,"Office Supplies",856.656,6,32,2016,5,5
"F","Yes",4,"Office Supplies",13.184,4,32,2016,5,5
"F","Yes",4,"Office Supplies",48.784,4,32,2016,5,5
"F","Yes",4,"Office Supplies",76.64,2,32,2016,5,5
"F","Yes",4,"Office Supplies",18.528,6,32,2016,5,5
"F","Yes",4,"Office Supplies",21.88,2,32,2016,9,5
"F","Yes",4,"Furniture",207.846,3,32,2017,1,6
"F","Yes",4,"Technology",167.976,3,32,2017,2,4
"F","Yes",4,"Technology",109.53,3,32,2017,2,4
"F","Yes",4,"Office Supplies",9.82,2,32,2017,2,5
"F","Yes",4,"Furniture",51.968,2,33,2017,4,6
"F","Yes",4,"Office Supplies",51.336,3,33,2017,4,5
"F","Yes",4,"Office Supplies",332.704,1,33,2017,4,5
"F","Yes",4,"Furniture",42.408,3,33,2017,4,6
"F","Yes",4,"Office Supplies",33.12,4,33,2017,4,5
"F","Yes",4,"Furniture",220.2656,4,33,2017,4,6
"F","Yes",4,"Office Supplies",53.9,5,33,2017,6,5
"F","Yes",4,"Office Supplies",11.808,3,33,2017,9,5
"F","Yes",4,"Furniture",41.96,2,33,2017,12,6
"M","Yes",4,"Furniture",63.92,4,71,2014,10,1
"M","Yes",4,"Technology",383.96,5,71,2014,10,3
"M","Yes",4,"Office Supplies",35.4,5,72,2016,9,2
"M","Yes",4,"Furniture",239.24,1,73,2017,7,1
"M","Yes",4,"Office Supplies",15.984,2,74,2017,12,2
"M","Yes",3,"Office Supplies",39.96,2,17,2014,8,2
"M","Yes",3,"Office Supplies",102.3,10,17,2014,8,2
"M","Yes",3,"Office Supplies",21.36,2,17,2014,8,2
"M","Yes",3,"Office Supplies",14.016,4,17,2014,12,2
"M","Yes",3,"Furniture",214.95,5,17,2014,12,1
"M","Yes",3,"Technology",35.04,4,17,2014,12,3
"M","Yes",3,"Furniture",10.776,3,17,2014,12,1
"M","Yes",3,"Office Supplies",4.6,2,17,2014,12,2
"M","Yes",3,"Office Supplies",35.168,2,17,2014,12,2
"M","Yes",3,"Office Supplies",17.568,2,17,2015,3,2
"M","Yes",3,"Office Supplies",14.62,2,17,2015,3,2
"M","Yes",3,"Office Supplies",33.36,4,17,2015,3,2
"M","Yes",3,"Office Supplies",40.14,6,17,2015,3,2
"M","Yes",3,"Furniture",6.96,4,19,2016,11,1
"M","Yes",3,"Office Supplies",21.96,2,20,2017,9,2
"M","Yes",3,"Technology",46.36,4,20,2017,10,3
"F","Yes",4,"Technology",139.8,5,40,2014,6,4
"F","Yes",4,"Technology",40.68,3,41,2014,12,4
"F","Yes",4,"Furniture",763.28,5,41,2014,12,6
"F","Yes",4,"Office Supplies",17.94,3,41,2015,4,5
"F","Yes",4,"Furniture",20.104,2,41,2015,8,6
"F","Yes",4,"Office Supplies",3.798,1,41,2015,8,5
"F","Yes",4,"Furniture",7.88,5,41,2015,8,6
"F","Yes",4,"Office Supplies",180.016,1,42,2015,12,5
"F","Yes",4,"Furniture",41.552,2,42,2015,12,6
"F","Yes",4,"Office Supplies",13.12,5,42,2015,12,5
"F","Yes",4,"Furniture",51.588,1,42,2015,12,6
"F","Yes",4,"Office Supplies",93.36,12,43,2016,10,5
"F","Yes",4,"Technology",40.68,3,43,2017,9,4
"F","Yes",4,"Office Supplies",20.736,4,44,2017,10,5
"F","Yes",4,"Furniture",7.168,2,44,2017,10,6
"F","Yes",4,"Office Supplies",11.168,2,44,2017,10,5
"F","Yes",4,"Technology",442.4,7,44,2017,10,4
"F","Yes",4,"Office Supplies",305.01,9,44,2017,11,5
"F","Yes",4,"Furniture",18.7,1,44,2017,11,6
"M","Yes",3,"Office Supplies",49.632,4,20,2014,11,2
"M","Yes",3,"Office Supplies",40.05,3,21,2014,12,2
"M","Yes",3,"Office Supplies",6.36,2,22,2015,12,2
"M","Yes",3,"Office Supplies",203.92,4,22,2016,4,2
"M","Yes",3,"Technology",29.56,4,22,2016,4,3
"M","Yes",3,"Office Supplies",22.32,4,22,2016,8,2
"M","Yes",3,"Office Supplies",103.6,7,22,2016,8,2
"M","Yes",3,"Furniture",383.64,6,23,2016,12,1
"M","Yes",3,"Office Supplies",56.52,3,23,2016,12,2
"M","Yes",3,"Office Supplies",13.71,5,23,2017,4,2
"M","Yes",3,"Office Supplies",35.91,3,24,2017,12,2
"F","Yes",4,"Office Supplies",6.58,2,48,2014,11,5
"F","Yes",4,"Technology",94.99,1,48,2014,11,4
"F","Yes",4,"Technology",821.94,6,49,2015,9,4
"F","Yes",4,"Office Supplies",20.44,7,50,2016,7,5
"F","Yes",4,"Office Supplies",109.92,2,50,2016,7,5
"F","Yes",4,"Furniture",82.26,3,50,2016,11,6
"F","Yes",4,"Office Supplies",46.53,3,51,2016,12,5
"F","Yes",4,"Technology",71.98,2,51,2017,8,4
"M","Yes",4,"Office Supplies",36.544,2,27,2014,6,2
"M","Yes",4,"Furniture",105.686,1,28,2015,5,1
"M","Yes",4,"Technology",399.54,2,28,2015,5,3
"M","Yes",4,"Furniture",104.93,5,28,2015,5,1
"M","Yes",4,"Office Supplies",11.21,1,29,2016,3,2
"M","Yes",4,"Furniture",354.9,5,29,2016,3,1
"M","Yes",4,"Office Supplies",17.94,3,29,2016,3,2
"M","Yes",4,"Office Supplies",51.8,4,29,2016,3,2
"M","Yes",4,"Office Supplies",18.97,1,29,2016,9,2
"M","Yes",4,"Office Supplies",28.14,3,30,2017,4,2
"M","Yes",4,"Office Supplies",7.38,2,30,2017,4,2
"M","Yes",4,"Office Supplies",10.9,5,30,2017,4,2
"M","Yes",4,"Technology",274.89,11,30,2017,4,3
"M","Yes",4,"Office Supplies",23.04,8,30,2017,4,2
"M","Yes",4,"Furniture",218.352,3,30,2017,4,1
"M","Yes",4,"Office Supplies",3.882,2,30,2017,9,2
"M","Yes",4,"Technology",12.585,1,30,2017,9,3
"M","Yes",4,"Furniture",113.372,2,30,2017,9,1
"M","Yes",4,"Office Supplies",18.312,4,30,2017,9,2
"M","Yes",4,"Furniture",127.936,8,30,2017,9,1
"M","Yes",4,"Technology",241.17,2,30,2017,9,3
"M","Yes",4,"Office Supplies",10.368,2,58,2015,1,2
"M","Yes",4,"Technology",235.188,2,58,2015,1,3
"M","Yes",4,"Technology",26.376,4,58,2015,1,3
"M","Yes",4,"Technology",10.384,2,58,2015,1,3
"M","Yes",4,"Technology",107.118,3,58,2015,1,3
"M","Yes",4,"Office Supplies",6.99,3,59,2016,4,2
"M","Yes",4,"Office Supplies",6.84,1,59,2016,4,2
"M","Yes",4,"Furniture",562.2925,7,60,2016,8,1
"M","Yes",4,"Office Supplies",111.672,9,60,2016,11,2
"F","Yes",2,"Office Supplies",232.55,5,16,2014,4,5
"F","Yes",2,"Technology",99.98,2,16,2014,4,4
"F","Yes",2,"Office Supplies",19.44,3,16,2014,4,5
"F","Yes",2,"Office Supplies",12.96,2,16,2014,4,5
"F","Yes",2,"Office Supplies",15.552,3,16,2014,8,5
"F","Yes",2,"Furniture",1013.832,9,16,2014,12,6
"F","Yes",2,"Office Supplies",1.984,2,16,2014,12,5
"F","Yes",2,"Office Supplies",89.82,6,16,2015,3,5
"F","Yes",2,"Office Supplies",34.65,3,17,2015,4,5
"F","Yes",2,"Technology",19.8,5,17,2015,4,4
"F","Yes",2,"Office Supplies",9.762,2,17,2015,9,5
"F","Yes",2,"Office Supplies",8.72,5,17,2015,11,5
"F","Yes",2,"Technology",91.176,3,17,2015,11,4
"F","Yes",2,"Technology",159.968,4,17,2015,11,4
"F","Yes",2,"Furniture",79.92,4,17,2016,1,6
"F","Yes",2,"Technology",69.98,2,17,2016,1,4
"F","Yes",2,"Office Supplies",70.368,2,18,2016,9,5
"F","Yes",2,"Technology",59.96,5,18,2016,9,4
"F","Yes",2,"Office Supplies",19.46,7,18,2016,12,5
"F","Yes",2,"Office Supplies",60.34,7,18,2016,12,5
"F","Yes",2,"Technology",69.93,7,18,2017,3,4
"F","Yes",2,"Office Supplies",440.19,9,19,2017,5,5
"F","Yes",2,"Office Supplies",64.4,5,19,2017,5,5
"M","Yes",4,"Furniture",1125.488,7,40,2014,3,1
"M","Yes",4,"Office Supplies",12.645,5,40,2014,3,2
"M","Yes",4,"Office Supplies",4.032,2,40,2014,3,2
"M","Yes",4,"Furniture",355.36,4,41,2015,6,1
"M","Yes",4,"Technology",140.376,3,41,2015,6,3
"M","Yes",4,"Office Supplies",160.72,14,42,2015,9,2
"M","Yes",4,"Office Supplies",19.92,4,42,2015,9,2
"M","Yes",4,"Office Supplies",7.3,2,42,2015,9,2
"M","Yes",4,"Technology",113.52,4,44,2017,9,3
"M","Yes",4,"Furniture",135.3,5,44,2017,9,1
"M","Yes",4,"Office Supplies",6.912,3,37,2014,4,2
"M","Yes",4,"Technology",383.976,3,37,2014,4,3
"M","Yes",4,"Office Supplies",10.368,2,37,2014,4,2
"M","Yes",4,"Technology",335.944,7,37,2014,4,3
"M","Yes",4,"Furniture",369.912,3,38,2015,4,1
"M","Yes",4,"Office Supplies",434.352,3,39,2015,12,2
"M","Yes",4,"Office Supplies",3.552,2,39,2015,12,2
"M","Yes",4,"Office Supplies",88.832,4,39,2015,12,2
"M","Yes",4,"Furniture",573.174,7,40,2016,8,1
"M","Yes",4,"Office Supplies",73.36,7,40,2016,11,2
"M","Yes",4,"Technology",159.96,5,41,2017,8,3
"M","Yes",4,"Office Supplies",13.76,2,41,2017,8,2
"M","Yes",4,"Office Supplies",31.44,3,41,2017,8,2
"M","Yes",4,"Office Supplies",83.79,7,41,2017,8,2
"M","Yes",4,"Office Supplies",59.52,3,41,2017,8,2
"M","Yes",4,"Office Supplies",31.92,4,41,2017,8,2
"M","Yes",4,"Office Supplies",48.86,7,41,2017,11,2
"F","Yes",4,"Office Supplies",67.15,5,81,2014,11,5
