"CustomerID","DOB","gender","MaritalStatus","Familysize"
"C21116","1973-11-21","M","Yes",4
"C21117","1985-03-12","M","Yes",3
"C21118","1978-12-27","M","Yes",4
"C21119","1998-09-21","M","Yes",3
"C21120","1943-03-08","M","Yes",4
"C21121","1985-10-15","M","Yes",4
"C21122","1951-04-10","F","Yes",4
"C21123","1957-06-03","F","Yes",4
"C21124","1953-03-04","F","Yes",4
"C21125","1984-04-07","F","Yes",4
"C21126","1943-10-03","M","Yes",4
"C21127","1997-04-27","M","Yes",3
"C21128","1973-09-12","F","Yes",4
"C21129","1993-11-17","M","Yes",3
"C21130","1965-12-05","F","Yes",4
"C21131","1987-01-06","M","Yes",4
"C21132","1956-07-04","M","Yes",4
"C21133","1998-03-24","F","Yes",2
"C21134","1973-08-12","M","Yes",4
"C21135","1976-07-15","M","Yes",4
"C21136","1933-07-24","F","Yes",4
"C21137","1955-06-02","F","Yes",4
"C21138","1963-12-08","F","Yes",4
"C21139","1947-11-25","F","No",1
"C21140","1983-10-14","M","No",1
"C21141","1949-10-22","F","Yes",4
"C21142","1979-04-24","M","Yes",3
"C21143","1989-12-23","M","Yes",4
"C21144","1984-02-16","M","Yes",4
"C21145","1948-12-20","M","Yes",4
"C21146","1979-07-11","M","No",1
"C21147","1974-07-16","F","Yes",3
"C21148","1987-09-25","M","Yes",4
"C21149","1970-07-16","M","Yes",4
"C21150","1940-07-21","M","Yes",4
"C21151","1984-02-25","F","Yes",3
"C21152","1961-03-21","F","Yes",4
"C21153","1950-10-24","F","Yes",4
"C21154","1939-05-24","F","Yes",4
"C21155","1993-11-21","M","Yes",3
"C21156","1981-11-11","M","Yes",4
"C21157","1968-07-24","F","Yes",3
"C21158","1970-03-14","M","Yes",4
"C21159","1985-10-19","M","Yes",4
"C21160","1977-07-05","M","Yes",3
"C21161","1976-07-17","F","Yes",3
"C21162","1993-04-06","M","No",1
"C21163","1983-03-09","M","Yes",4
"C21164","1976-07-02","F","Yes",4
"C21165","1969-08-20","M","Yes",4
"C21166","1993-02-27","F","Yes",3
"C21167","1968-03-18","F","Yes",4
"C21168","1955-09-18","F","Yes",4
"C21169","1967-09-24","M","Yes",4
"C21170","1950-08-21","M","Yes",4
"C21171","1986-10-20","F","Yes",4
"C21172","1988-12-12","F","No",1
"C21173","1972-06-01","M","Yes",4
"C21174","1971-01-23","M","Yes",4
"C21175","1972-05-21","F","Yes",4
"C21176","1947-04-16","F","Yes",4
"C21177","1975-10-01","F","Yes",3
"C21178","1976-03-06","M","Yes",3
"C21179","1974-12-23","M","Yes",4
"C21180","1933-04-16","F","Yes",4
"C21181","1980-11-28","M","Yes",4
"C21182","1993-05-25","M","Yes",3
"C21183","1968-10-06","M","Yes",3
"C21184","1976-06-27","F","Yes",3
"C21185","1969-01-23","M","Yes",4
"C21186","1968-11-20","F","Yes",4
"C21187","1940-05-04","M","Yes",4
"C21188","1962-02-12","F","Yes",4
"C21189","1983-02-12","F","Yes",4
"C21190","1947-06-28","F","Yes",4
"C21191","1943-12-24","F","Yes",4
"C21192","1969-08-28","F","Yes",4
"C21193","1971-01-28","F","Yes",3
"C21194","1979-01-04","F","Yes",4
"C21195","1964-02-17","F","Yes",3
"C21196","1972-04-02","F","Yes",4
"C21197","1973-12-19","F","Yes",4
"C21198","1950-11-03","F","Yes",4
"C21199","1979-02-11","M","Yes",4
"C21200","1955-04-05","F","Yes",4
"C21201","1968-04-11","F","Yes",4
"C21202","1959-02-03","M","Yes",4
"C21203","1994-01-22","M","Yes",3
"C21204","1980-03-01","M","Yes",4
"C21205","1998-11-17","F","Yes",2
"C21206","1978-08-03","M","Yes",4
"C21207","1972-11-14","M","Yes",3
"C21208","1978-03-06","M","Yes",4
"C21209","1969-11-03","F","Yes",4
"C21210","1994-09-22","M","Yes",3
"C21211","1968-11-10","M","Yes",4
"C21212","2000-07-23","M","Yes",2
"C21213","1989-01-21","F","Yes",4
"C21214","1973-03-01","F","Yes",4
"C21215","1996-05-13","M","Yes",3
"C21216","1981-06-18","M","Yes",4
"C21217","1981-08-19","M","Yes",4
"C21218","1994-10-07","F","Yes",3
"C21219","1977-07-04","M","Yes",3
"C21220","1996-05-19","F","Yes",3
"C21221","1999-07-06","F","Yes",2
"C21222","1982-12-14","M","Yes",4
"C21223","1998-09-01","F","Yes",2
"C21224","1936-08-05","M","Yes",4
"C21225","1996-12-07","F","Yes",3
"C21226","1997-10-06","F","Yes",3
"C21227","1979-01-23","F","Yes",4
"C21228","1970-01-04","M","Yes",4
"C21229","1934-03-25","F","Yes",4
"C21230","1936-11-19","M","Yes",4
"C21231","1989-09-08","F","Yes",4
"C21232","1975-02-23","F","Yes",3
"C21233","1993-08-11","M","Yes",3
"C21234","1970-03-21","F","Yes",4
"C21235","1949-03-27","M","Yes",4
"C21236","1991-09-09","F","Yes",4
"C21237","1988-10-17","M","Yes",4
"C21238","1972-11-03","F","Yes",4
"C21239","1993-06-17","M","Yes",3
"C21240","1974-07-05","F","Yes",4
"C21241","1947-05-24","F","Yes",4
"C21242","1952-02-07","F","Yes",4
"C21243","1933-09-17","F","Yes",4
"C21244","1952-05-20","F","No",1
"C21245","1950-02-24","F","Yes",4
"C21246","1976-03-23","M","Yes",4
"C21247","1973-04-23","F","Yes",4
"C21248","1974-05-03","M","Yes",4
"C21249","1937-03-08","M","Yes",4
"C21250","1976-09-16","M","Yes",4
"C21251","1957-09-11","M","Yes",4
"C21252","1951-09-15","F","Yes",4
"C21253","1986-02-04","M","Yes",4
"C21254","1984-01-24","F","No",1
"C21255","1935-04-28","F","Yes",3
"C21256","1993-09-17","M","Yes",3
"C21257","1992-01-03","M","Yes",3
"C21258","1976-10-21","M","Yes",4
"C21259","1976-03-07","M","No",1
"C21260","1985-01-16","F","Yes",3
"C21261","1957-05-02","M","Yes",4
"C21262","1984-09-13","M","Yes",4
"C21263","1988-04-13","M","Yes",3
"C21264","1963-11-27","F","Yes",4
"C21265","1983-06-26","M","Yes",4
"C21266","1973-01-11","F","Yes",4
"C21267","1988-03-23","F","Yes",4
"C21268","1960-07-10","M","Yes",4
"C21269","1957-08-27","F","Yes",4
"C21270","1993-04-02","M","Yes",3
"C21271","1977-03-03","F","Yes",4
"C21272","1971-03-24","M","Yes",4
"C21273","1967-08-23","F","Yes",4
"C21274","1936-01-12","M","Yes",4
"C21275","1941-01-22","M","Yes",4
"C21276","1990-03-18","F","Yes",3
