"BillNumber","BillDate","CustomerID","ProductID","ProductCategory","Sales","Quantity"
"B38262","2014-09-19","C21116","PR7012","Office Supplies",5.67,3
"B38128","2014-09-23","C21116","PR7313","Office Supplies",28.8,9
"B42017","2015-03-16","C21116","PR6640","Office Supplies",17.52,3
"B39125","2015-04-29","C21116","PR7219","Office Supplies",7.968,2
"B38809","2015-12-11","C21116","PR6925","Office Supplies",110.528,4
"B38854","2015-12-15","C21116","PR6647","Office Supplies",3.28,1
"B41990","2015-12-18","C21116","PR7330","Office Supplies",20.736,4
"B38943","2015-12-25","C21116","PR6563","Office Supplies",414.96,2
"B41717","2017-07-03","C21116","PR7678","Technology",59.98,2
"B41717","2017-07-03","C21116","PR7744","Technology",2395.2,6
"B41717","2017-07-03","C21116","PR7629","Technology",1687.8,4
"B41717","2017-07-03","C21116","PR7816","Technology",7.992,1
"B42714","2014-06-01","C21117","PR6788","Office Supplies",45.48,3
"B42714","2014-06-01","C21117","PR6656","Office Supplies",289.2,6
"B46789","2014-08-23","C21117","PR7250","Office Supplies",19.44,3
"B45238","2016-09-16","C21117","PR6177","Furniture",121.78,2
"B38346","2014-03-01","C21118","PR7511","Office Supplies",137.352,3
"B38346","2014-03-01","C21118","PR6447","Furniture",376.509,3
"B37859","2014-07-27","C21118","PR7653","Technology",238,2
"B38828","2015-09-19","C21118","PR7791","Technology",279.86,14
"B39375","2016-02-16","C21118","PR6382","Furniture",318.08,4
"B39375","2016-02-16","C21118","PR6847","Office Supplies",5.8,1
"B40344","2016-10-21","C21118","PR7530","Office Supplies",111.672,9
"B42346","2017-07-29","C21118","PR7658","Technology",90.57,3
"B41457","2017-12-02","C21118","PR6891","Office Supplies",631.176,4
"B33346","2014-03-05","C21119","PR6600","Office Supplies",59.52,3
"B33346","2014-03-05","C21119","PR7626","Technology",479.97,3
"B33346","2014-03-05","C21119","PR7534","Office Supplies",18.62,2
"B33346","2014-03-05","C21119","PR6812","Office Supplies",49.632,6
"B33346","2014-03-05","C21119","PR7248","Office Supplies",97.82,2
"B34227","2015-09-10","C21119","PR7161","Office Supplies",14.94,3
"B34993","2016-01-31","C21119","PR7352","Office Supplies",15.552,3
"B35756","2017-09-04","C21119","PR7574","Technology",91.96,4
"B36522","2017-11-19","C21119","PR7151","Office Supplies",16.896,4
"B36522","2017-11-19","C21119","PR7540","Office Supplies",6.672,1
"B36522","2017-11-19","C21119","PR6689","Office Supplies",99.136,4
"B36522","2017-11-19","C21119","PR6317","Furniture",15.992,2
"B43123","2014-01-19","C21120","PR6895","Office Supplies",32.34,10
"B43123","2014-01-19","C21120","PR7176","Office Supplies",56.064,4
"B43123","2014-01-19","C21120","PR6981","Office Supplies",108.72,5
"B43123","2014-01-19","C21120","PR6127","Furniture",181.47,5
"B43054","2014-09-08","C21120","PR6778","Office Supplies",8.608,2
"B43992","2015-03-10","C21120","PR6914","Office Supplies",1.112,2
"B44070","2015-11-24","C21120","PR6861","Office Supplies",3.168,2
"B44070","2015-11-24","C21120","PR7261","Office Supplies",19.44,3
"B44070","2015-11-24","C21120","PR7404","Office Supplies",454.86,7
"B44070","2015-11-24","C21120","PR6856","Office Supplies",91.392,8
"B45720","2017-05-18","C21120","PR6336","Furniture",14.56,2
"B45720","2017-05-18","C21120","PR6772","Office Supplies",3.048,1
"B33319","2014-09-20","C21121","PR6426","Furniture",164.22,3
"B33319","2014-09-20","C21121","PR6118","Furniture",362.94,3
"B33319","2014-09-20","C21121","PR7678","Technology",59.98,2
"B32790","2014-10-08","C21121","PR7345","Office Supplies",123.92,4
"B33029","2014-10-12","C21121","PR6654","Office Supplies",14.9,5
"B33029","2014-10-12","C21121","PR7480","Office Supplies",21.39,1
"B35045","2016-04-21","C21121","PR6955","Office Supplies",8.32,5
"B34489","2016-06-26","C21121","PR6332","Furniture",22.14,3
"B34485","2016-12-22","C21121","PR6260","Furniture",842.72,8
"B34485","2016-12-22","C21121","PR6314","Furniture",41.96,2
"B36089","2017-05-27","C21121","PR6377","Furniture",477.3,5
"B43098","2014-08-31","C21122","PR7616","Technology",92.52,9
"B43031","2014-10-09","C21122","PR6656","Office Supplies",144.6,3
"B43031","2014-10-09","C21122","PR7890","Technology",15.992,1
"B44599","2016-11-20","C21122","PR6839","Office Supplies",128.4,3
"B45153","2016-12-01","C21122","PR6927","Office Supplies",88.08,6
"B45153","2016-12-01","C21122","PR6247","Furniture",751.92,4
"B47511","2017-04-21","C21122","PR6545","Office Supplies",97.264,4
"B43885","2015-05-25","C21123","PR6576","Office Supplies",845.728,13
"B43714","2015-11-01","C21123","PR6166","Furniture",327.564,4
"B45233","2016-04-05","C21123","PR7794","Technology",118.782,3
"B45233","2016-04-05","C21123","PR7536","Office Supplies",769.184,4
"B47116","2016-11-21","C21123","PR6224","Furniture",195.136,4
"B35011","2016-04-24","C21124","PR7330","Office Supplies",15.552,3
"B35011","2016-04-24","C21124","PR6233","Furniture",1325.76,6
"B35011","2016-04-24","C21124","PR6915","Office Supplies",3.108,2
"B34380","2016-09-24","C21124","PR6344","Furniture",21.44,2
"B34380","2016-09-24","C21124","PR7449","Office Supplies",511.056,9
"B37542","2017-01-28","C21124","PR7652","Technology",449.91,9
"B36539","2017-04-14","C21124","PR6886","Office Supplies",8.76,2
"B36173","2017-09-16","C21124","PR7635","Technology",18,1
"B37182","2016-05-09","C21125","PR7454","Office Supplies",856.656,6
"B37182","2016-05-09","C21125","PR6864","Office Supplies",13.184,4
"B37182","2016-05-09","C21125","PR6498","Office Supplies",48.784,4
"B37182","2016-05-09","C21125","PR7371","Office Supplies",76.64,2
"B37182","2016-05-09","C21125","PR6845","Office Supplies",18.528,6
"B34576","2016-09-01","C21125","PR6968","Office Supplies",21.88,2
"B36489","2017-01-20","C21125","PR6217","Furniture",207.846,3
"B36645","2017-02-18","C21125","PR7859","Technology",167.976,3
"B36645","2017-02-18","C21125","PR7709","Technology",109.53,3
"B36645","2017-02-18","C21125","PR7115","Office Supplies",9.82,2
"B36381","2017-04-20","C21125","PR6311","Furniture",51.968,2
"B36381","2017-04-20","C21125","PR7480","Office Supplies",51.336,3
"B36381","2017-04-20","C21125","PR7409","Office Supplies",332.704,1
"B36381","2017-04-20","C21125","PR6418","Furniture",42.408,3
"B36067","2017-04-27","C21125","PR7071","Office Supplies",33.12,4
"B36067","2017-04-27","C21125","PR6131","Furniture",220.2656,4
"B36289","2017-06-01","C21125","PR6895","Office Supplies",53.9,5
"B36106","2017-09-04","C21125","PR6821","Office Supplies",11.808,3
"B36293","2017-12-25","C21125","PR6314","Furniture",41.96,2
"B43285","2014-10-26","C21126","PR6267","Furniture",63.92,4
"B43285","2014-10-26","C21126","PR7809","Technology",383.96,5
"B45210","2016-09-15","C21126","PR6665","Office Supplies",35.4,5
"B47513","2017-07-06","C21126","PR6162","Furniture",239.24,1
"B45576","2017-12-09","C21126","PR7397","Office Supplies",15.984,2
"B32862","2014-08-03","C21127","PR7194","Office Supplies",39.96,2
"B32862","2014-08-03","C21127","PR7551","Office Supplies",102.3,10
"B32862","2014-08-03","C21127","PR7498","Office Supplies",21.36,2
"B36838","2014-12-06","C21127","PR6570","Office Supplies",14.016,4
"B36838","2014-12-06","C21127","PR6473","Furniture",214.95,5
"B36838","2014-12-06","C21127","PR7801","Technology",35.04,4
"B36838","2014-12-06","C21127","PR6322","Furniture",10.776,3
"B36838","2014-12-06","C21127","PR6954","Office Supplies",4.6,2
"B36838","2014-12-06","C21127","PR7483","Office Supplies",35.168,2
"B33532","2015-03-19","C21127","PR6752","Office Supplies",17.568,2
"B33532","2015-03-19","C21127","PR7058","Office Supplies",14.62,2
"B33532","2015-03-19","C21127","PR7540","Office Supplies",33.36,4
"B33532","2015-03-19","C21127","PR7297","Office Supplies",40.14,6
"B34731","2016-11-11","C21127","PR6308","Furniture",6.96,4
"B35674","2017-09-22","C21127","PR7542","Office Supplies",21.96,2
"B36373","2017-10-14","C21127","PR7677","Technology",46.36,4
"B37845","2014-06-18","C21128","PR7800","Technology",139.8,5
"B37584","2014-12-15","C21128","PR7797","Technology",40.68,3
"B37584","2014-12-15","C21128","PR6239","Furniture",763.28,5
"B38579","2015-04-09","C21128","PR7456","Office Supplies",17.94,3
"B39247","2015-08-25","C21128","PR6295","Furniture",20.104,2
"B39247","2015-08-25","C21128","PR6763","Office Supplies",3.798,1
"B39247","2015-08-25","C21128","PR6328","Furniture",7.88,5
"B41974","2015-12-17","C21128","PR7512","Office Supplies",180.016,1
"B41974","2015-12-17","C21128","PR6282","Furniture",41.552,2
"B41974","2015-12-17","C21128","PR6712","Office Supplies",13.12,5
"B38504","2015-12-26","C21128","PR6473","Furniture",51.588,1
"B39870","2016-10-07","C21128","PR7032","Office Supplies",93.36,12
"B40624","2017-09-02","C21128","PR7672","Technology",40.68,3
"B41417","2017-10-30","C21128","PR7373","Office Supplies",20.736,4
"B41417","2017-10-30","C21128","PR6410","Furniture",7.168,2
"B41417","2017-10-30","C21128","PR7484","Office Supplies",11.168,2
"B41417","2017-10-30","C21128","PR7601","Technology",442.4,7
"B40889","2017-11-19","C21128","PR7424","Office Supplies",305.01,9
"B40889","2017-11-19","C21128","PR6345","Furniture",18.7,1
"B38160","2014-11-12","C21129","PR7448","Office Supplies",49.632,4
"B37846","2014-12-17","C21129","PR6675","Office Supplies",40.05,3
"B38762","2015-12-29","C21129","PR7558","Office Supplies",6.36,2
"B39864","2016-04-18","C21129","PR6513","Office Supplies",203.92,4
"B39864","2016-04-18","C21129","PR7971","Technology",29.56,4
"B39660","2016-08-13","C21129","PR6844","Office Supplies",22.32,4
"B39660","2016-08-13","C21129","PR7108","Office Supplies",103.6,7
"B39826","2016-12-12","C21129","PR6423","Furniture",383.64,6
"B39826","2016-12-12","C21129","PR6534","Office Supplies",56.52,3
"B41089","2017-04-16","C21129","PR6809","Office Supplies",13.71,5
"B40714","2017-12-24","C21129","PR6574","Office Supplies",35.91,3
"B33196","2014-11-21","C21130","PR7225","Office Supplies",6.58,2
"B33196","2014-11-21","C21130","PR7582","Technology",94.99,1
"B37041","2015-09-24","C21130","PR7945","Technology",821.94,6
"B34921","2016-07-28","C21130","PR7022","Office Supplies",20.44,7
"B34921","2016-07-28","C21130","PR7265","Office Supplies",109.92,2
"B34466","2016-11-24","C21130","PR6372","Furniture",82.26,3
"B35105","2016-12-17","C21130","PR7448","Office Supplies",46.53,3
"B35929","2017-08-26","C21130","PR7573","Technology",71.98,2
"B37890","2014-06-15","C21131","PR7254","Office Supplies",36.544,2
"B38934","2015-05-26","C21131","PR6175","Furniture",105.686,1
"B38934","2015-05-26","C21131","PR7789","Technology",399.54,2
"B38934","2015-05-26","C21131","PR6241","Furniture",104.93,5
"B40084","2016-03-09","C21131","PR7526","Office Supplies",11.21,1
"B40084","2016-03-09","C21131","PR6205","Furniture",354.9,5
"B40084","2016-03-09","C21131","PR7240","Office Supplies",17.94,3
"B40084","2016-03-09","C21131","PR6943","Office Supplies",51.8,4
"B42070","2016-09-29","C21131","PR7139","Office Supplies",18.97,1
"B40947","2017-04-17","C21131","PR7394","Office Supplies",28.14,3
"B40947","2017-04-17","C21131","PR7075","Office Supplies",7.38,2
"B40947","2017-04-17","C21131","PR7029","Office Supplies",10.9,5
"B40947","2017-04-17","C21131","PR7606","Technology",274.89,11
"B40947","2017-04-17","C21131","PR7098","Office Supplies",23.04,8
"B40947","2017-04-17","C21131","PR6222","Furniture",218.352,3
"B41481","2017-09-14","C21131","PR6761","Office Supplies",3.882,2
"B41481","2017-09-14","C21131","PR7760","Technology",12.585,1
"B41481","2017-09-14","C21131","PR6202","Furniture",113.372,2
"B41481","2017-09-14","C21131","PR6898","Office Supplies",18.312,4
"B41481","2017-09-14","C21131","PR6285","Furniture",127.936,8
"B41481","2017-09-14","C21131","PR7746","Technology",241.17,2
"B43737","2015-01-12","C21132","PR6627","Office Supplies",10.368,2
"B43737","2015-01-12","C21132","PR7973","Technology",235.188,2
"B43737","2015-01-12","C21132","PR7819","Technology",26.376,4
"B43737","2015-01-12","C21132","PR7583","Technology",10.384,2
"B43737","2015-01-12","C21132","PR7872","Technology",107.118,3
"B44953","2016-04-18","C21132","PR6635","Office Supplies",6.99,3
"B44953","2016-04-18","C21132","PR7562","Office Supplies",6.84,1
"B44550","2016-08-12","C21132","PR6455","Furniture",562.2925,7
"B44277","2016-11-01","C21132","PR7530","Office Supplies",111.672,9
"B33138","2014-04-04","C21133","PR7519","Office Supplies",232.55,5
"B33138","2014-04-04","C21133","PR7655","Technology",99.98,2
"B33138","2014-04-04","C21133","PR7344","Office Supplies",19.44,3
"B33138","2014-04-04","C21133","PR7268","Office Supplies",12.96,2
"B32914","2014-08-17","C21133","PR7227","Office Supplies",15.552,3
"B33182","2014-12-16","C21133","PR6176","Furniture",1013.832,9
"B33182","2014-12-16","C21133","PR7017","Office Supplies",1.984,2
"B36940","2015-03-10","C21133","PR7481","Office Supplies",89.82,6
"B33397","2015-04-30","C21133","PR6604","Office Supplies",34.65,3
"B33397","2015-04-30","C21133","PR7802","Technology",19.8,5
"B33378","2015-09-04","C21133","PR6783","Office Supplies",9.762,2
"B33866","2015-11-14","C21133","PR7016","Office Supplies",8.72,5
"B33866","2015-11-14","C21133","PR7578","Technology",91.176,3
"B33866","2015-11-14","C21133","PR7652","Technology",159.968,4
"B34507","2016-01-10","C21133","PR6251","Furniture",79.92,4
"B34507","2016-01-10","C21133","PR7638","Technology",69.98,2
"B34379","2016-09-08","C21133","PR6648","Office Supplies",70.368,2
"B34379","2016-09-08","C21133","PR7820","Technology",59.96,5
"B34828","2016-12-09","C21133","PR6589","Office Supplies",19.46,7
"B34828","2016-12-09","C21133","PR6520","Office Supplies",60.34,7
"B36533","2017-03-12","C21133","PR7961","Technology",69.93,7
"B35943","2017-05-14","C21133","PR7321","Office Supplies",440.19,9
"B35943","2017-05-14","C21133","PR7563","Office Supplies",64.4,5
"B37934","2014-03-31","C21134","PR6211","Furniture",1125.488,7
"B37934","2014-03-31","C21134","PR6815","Office Supplies",12.645,5
"B37934","2014-03-31","C21134","PR6721","Office Supplies",4.032,2
"B38899","2015-06-09","C21134","PR6361","Furniture",355.36,4
"B38899","2015-06-09","C21134","PR7954","Technology",140.376,3
"B39019","2015-09-18","C21134","PR7382","Office Supplies",160.72,14
"B39019","2015-09-18","C21134","PR7213","Office Supplies",19.92,4
"B39019","2015-09-18","C21134","PR7544","Office Supplies",7.3,2
"B40944","2017-09-07","C21134","PR7644","Technology",113.52,4
"B40944","2017-09-07","C21134","PR6376","Furniture",135.3,5
"B36750","2014-04-11","C21135","PR7028","Office Supplies",6.912,3
"B36750","2014-04-11","C21135","PR7626","Technology",383.976,3
"B36750","2014-04-11","C21135","PR7127","Office Supplies",10.368,2
"B36750","2014-04-11","C21135","PR7621","Technology",335.944,7
"B33903","2015-04-09","C21135","PR6459","Furniture",369.912,3
"B33703","2015-12-19","C21135","PR6504","Office Supplies",434.352,3
"B33703","2015-12-19","C21135","PR6550","Office Supplies",3.552,2
"B33703","2015-12-19","C21135","PR6566","Office Supplies",88.832,4
"B34599","2016-08-21","C21135","PR6210","Furniture",573.174,7
"B34755","2016-11-25","C21135","PR7447","Office Supplies",73.36,7
"B37507","2017-08-07","C21135","PR7805","Technology",159.96,5
"B37507","2017-08-07","C21135","PR6766","Office Supplies",13.76,2
"B37287","2017-08-13","C21135","PR7447","Office Supplies",31.44,3
"B37287","2017-08-13","C21135","PR6574","Office Supplies",83.79,7
"B37287","2017-08-13","C21135","PR6600","Office Supplies",59.52,3
"B37287","2017-08-13","C21135","PR7538","Office Supplies",31.92,4
"B35363","2017-11-16","C21135","PR7484","Office Supplies",48.86,7
"B43071","2014-11-18","C21136","PR7433","Office Supplies",67.15,5
"B46923","2014-12-24","C21136","PR7500","Office Supplies",142.86,1
"B46923","2014-12-24","C21136","PR6177","Furniture",292.272,6
"B44029","2015-09-03","C21136","PR6962","Office Supplies",200.984,7
"B46161","2017-10-23","C21136","PR7342","Office Supplies",11.56,2
"B46161","2017-10-23","C21136","PR7283","Office Supplies",26.4,5
"B46161","2017-10-23","C21136","PR6279","Furniture",69.08,11
"B46161","2017-10-23","C21136","PR7842","Technology",35.88,3
"B45892","2017-11-03","C21136","PR7118","Office Supplies",12.39,3
"B41809","2014-10-15","C21137","PR6221","Furniture",183.372,2
"B41809","2014-10-15","C21137","PR7270","Office Supplies",7.968,2
"B39799","2016-03-17","C21137","PR7931","Technology",84.784,2
"B40225","2016-06-27","C21137","PR7921","Technology",201.584,2
"B40169","2016-09-22","C21137","PR7271","Office Supplies",35.88,6
"B41075","2017-03-23","C21137","PR7466","Office Supplies",143.728,2
"B43043","2014-05-11","C21138","PR7596","Technology",46.864,2
"B43072","2014-06-21","C21138","PR6679","Office Supplies",21.4,5
"B44114","2015-11-30","C21138","PR7826","Technology",177.48,3
"B47091","2016-04-08","C21138","PR6122","Furniture",354.9,5
"B44280","2016-07-07","C21138","PR6357","Furniture",215.65,5
"B47416","2017-01-19","C21138","PR7136","Office Supplies",79.92,4
"B47416","2017-01-19","C21138","PR7256","Office Supplies",12.28,1
"B47416","2017-01-19","C21138","PR6504","Office Supplies",542.94,3
"B47416","2017-01-19","C21138","PR6972","Office Supplies",2.04,1
"B46818","2014-10-15","C21139","PR6221","Furniture",183.372,2
"B46818","2014-10-15","C21139","PR7270","Office Supplies",7.968,2
"B44808","2016-03-17","C21139","PR7931","Technology",84.784,2
"B45234","2016-06-27","C21139","PR7921","Technology",201.584,2
"B45178","2016-09-22","C21139","PR7271","Office Supplies",35.88,6
"B46084","2017-03-23","C21139","PR7466","Office Supplies",143.728,2
"B32953","2014-06-09","C21140","PR6481","Furniture",1441.3,7
"B33393","2015-02-03","C21140","PR6995","Office Supplies",74.52,9
"B33773","2015-03-08","C21140","PR6856","Office Supplies",8.568,3
"B36935","2015-09-22","C21140","PR7537","Office Supplies",55.6,5
"B36935","2015-09-22","C21140","PR7681","Technology",617.976,3
"B37177","2016-10-31","C21140","PR7307","Office Supplies",32.064,6
"B34440","2016-12-29","C21140","PR7513","Office Supplies",14.03,1
"B34440","2016-12-29","C21140","PR7552","Office Supplies",27.96,2
"B37310","2017-06-08","C21140","PR7627","Technology",89.544,7
"B37310","2017-06-08","C21140","PR7483","Office Supplies",35.168,2
"B37310","2017-06-08","C21140","PR6777","Office Supplies",72.588,2
"B36186","2017-06-19","C21140","PR7552","Office Supplies",11.184,1
"B36186","2017-06-19","C21140","PR7510","Office Supplies",153.584,2
"B35501","2017-11-14","C21140","PR6894","Office Supplies",8.64,2
"B36230","2017-11-22","C21140","PR6586","Office Supplies",35.712,8
"B33274","2014-11-24","C21141","PR7403","Office Supplies",646.2,5
"B33529","2015-08-02","C21141","PR6466","Furniture",277.5,4
"B33808","2015-12-07","C21141","PR6513","Office Supplies",152.94,3
"B33808","2015-12-07","C21141","PR6205","Furniture",283.92,4
"B37458","2017-05-05","C21141","PR6997","Office Supplies",23.16,2
"B36158","2017-12-23","C21141","PR6252","Furniture",72.704,4
"B36158","2017-12-23","C21141","PR6596","Office Supplies",12.264,7
"B36158","2017-12-23","C21141","PR7518","Office Supplies",218.352,3
"B42940","2014-05-19","C21142","PR7566","Office Supplies",34.2,5
"B43567","2015-08-23","C21142","PR7560","Office Supplies",31.68,4
"B43567","2015-08-23","C21142","PR7188","Office Supplies",10.368,2
"B43567","2015-08-23","C21142","PR7042","Office Supplies",12.032,8
"B43567","2015-08-23","C21142","PR6502","Office Supplies",5.768,2
"B47280","2016-01-21","C21142","PR6234","Furniture",153.568,2
"B47280","2016-01-21","C21142","PR6173","Furniture",1013.488,7
"B45457","2017-04-23","C21142","PR7542","Office Supplies",54.9,5
"B45597","2017-06-15","C21142","PR6649","Office Supplies",19.56,5
"B46058","2017-07-08","C21142","PR6721","Office Supplies",7.56,3
"B46058","2017-07-08","C21142","PR7146","Office Supplies",24.56,2
"B46058","2017-07-08","C21142","PR6627","Office Supplies",12.96,2
"B47288","2017-07-09","C21142","PR6832","Office Supplies",1.08,2
"B46386","2017-11-11","C21142","PR7069","Office Supplies",10.44,5
"B46386","2017-11-11","C21142","PR6805","Office Supplies",18.336,4
"B45442","2017-11-23","C21142","PR6264","Furniture",24.048,9
"B36760","2014-03-21","C21143","PR7477","Office Supplies",16.272,1
"B33257","2014-06-09","C21143","PR6662","Office Supplies",18.06,7
"B33257","2014-06-09","C21143","PR7335","Office Supplies",79.14,3
"B33257","2014-06-09","C21143","PR6345","Furniture",37.4,2
"B32803","2014-09-27","C21143","PR6300","Furniture",87.54,3
"B33044","2014-11-17","C21143","PR7605","Technology",99.98,2
"B33044","2014-11-17","C21143","PR7328","Office Supplies",733.95,7
"B33044","2014-11-17","C21143","PR6512","Office Supplies",241.44,3
"B33351","2014-12-09","C21143","PR7135","Office Supplies",8.448,2
"B33351","2014-12-09","C21143","PR6560","Office Supplies",20.388,2
"B35118","2016-08-01","C21143","PR7904","Technology",1039.728,2
"B35118","2016-08-01","C21143","PR6549","Office Supplies",45.96,2
"B35733","2017-06-15","C21143","PR7822","Technology",239.976,3
"B35733","2017-06-15","C21143","PR6409","Furniture",31.168,4
"B35733","2017-06-15","C21143","PR6475","Furniture",120.96,2
"B35733","2017-06-15","C21143","PR7810","Technology",2239.936,8
"B35733","2017-06-15","C21143","PR6574","Office Supplies",76.608,8
"B35733","2017-06-15","C21143","PR7454","Office Supplies",142.776,1
"B35733","2017-06-15","C21143","PR7152","Office Supplies",91.36,5
"B38318","2014-06-29","C21144","PR6691","Office Supplies",32.76,7
"B38085","2014-10-15","C21144","PR6407","Furniture",15.384,1
"B39111","2015-11-20","C21144","PR7348","Office Supplies",19.65,3
"B39300","2016-02-27","C21144","PR6575","Office Supplies",170.88,3
"B40095","2016-05-02","C21144","PR6197","Furniture",187.056,9
"B42136","2016-09-25","C21144","PR7134","Office Supplies",10.9,5
"B42136","2016-09-25","C21144","PR7108","Office Supplies",29.6,2
"B42136","2016-09-25","C21144","PR7080","Office Supplies",4.98,1
"B42136","2016-09-25","C21144","PR7719","Technology",479.976,3
"B42136","2016-09-25","C21144","PR7917","Technology",44.736,8
"B42136","2016-09-25","C21144","PR6659","Office Supplies",5.76,2
"B42136","2016-09-25","C21144","PR6171","Furniture",483.136,4
"B41448","2017-01-19","C21144","PR7105","Office Supplies",6,2
"B42480","2017-09-21","C21144","PR6859","Office Supplies",12.294,1
"B36789","2014-08-05","C21145","PR6547","Office Supplies",79.47,3
"B36789","2014-08-05","C21145","PR6725","Office Supplies",4.56,2
"B36789","2014-08-05","C21145","PR6201","Furniture",1133.35,5
"B37237","2016-05-09","C21145","PR7204","Office Supplies",32.04,4
"B35644","2017-01-08","C21145","PR6450","Furniture",892.98,2
"B37405","2017-07-15","C21145","PR6529","Office Supplies",179.94,3
"B37405","2017-07-15","C21145","PR6482","Furniture",872.94,3
"B37405","2017-07-15","C21145","PR7319","Office Supplies",12.96,2
"B36647","2017-10-15","C21145","PR7069","Office Supplies",13.05,5
"B34163","2015-08-15","C21146","PR7403","Office Supplies",323.1,2
